topic,mention_count,avg_engagement,total_engagement,avg_sentiment,source_count,mention_score,engagement_score,sentiment_score,trend_score,novelty_score,novelty_score_norm,final_score_with_novelty,quadrant
running,35,0.36139109765147576,438550.6,0.04983845755446633,3,0.7142857142857143,1.0,0.5249192287772332,0.7906981314697323,0.7474311246181392,1.0,0.8192695600411608,High trend / High novelty
cycling,35,0.21689580181534499,173906.0,0.008141630230189644,3,0.7142857142857143,0.600169188518635,0.5040708151150948,0.6265961241447587,0.09372207810524089,0.16756243132296686,0.528663120128917,Lower priority
Digital art,49,0.13706889302970263,8290.9,0.11071106104012857,3,1.0,0.37928132131769154,0.5553555305200643,0.6627836346310895,-0.027322932553288434,0.01342288726958106,0.5275400799532366,High trend / Lower novelty
Mindfulness,48,0.11939912644189814,3904.6,0.07055205292582942,3,0.9795918367346939,0.3303875696380496,0.5352760264629147,0.6310469678416804,-0.016572192540603686,0.027112953095313225,0.5054716178234687,Lower priority
swimming,33,0.20635271990552262,153407.9,0.06320162408397702,3,0.673469387755102,0.5709955813702097,0.5316008120419885,0.6041061500585224,0.0584343836374683,0.12262683995603446,0.5041850211371981,Lower priority
AI music,48,0.09843192080592154,14720.1,0.05090917536188475,3,0.9795918367346939,0.2723695227845621,0.5254545876809423,0.6058754613438909,-0.03786385858620794,0.0,0.48067932539196523,Lower priority
Sustainable fashion,35,0.11904458923237515,906.4,0.12126543311437143,3,0.7142857142857143,0.3294065349312542,0.5606327165571857,0.5296034429982246,-0.005514839336128083,0.04119346225552301,0.4334729105276323,Lower priority
