topic,deep_fusion_score,deep_fusion_max,audio_genre_label
AI music,0.217354961687696,0.468851440918621,electronic
Digital art,0.2535504870101545,0.7233600026222269,electronic
Mindfulness,0.24659677558105986,0.5694472545224494,ambient
Sustainable fashion,0.2972317474450758,0.5075345652939235,electronic
cycling,0.28695505723115566,0.7068480198814646,electronic
running,0.36084463955318485,0.7246910070454928,electronic
swimming,0.3044382997483271,0.463024040715017,electronic
