topic,pagerank,betweenness,degree,weighted_degree
AI music,0.13009947570619027,0.0,2,0.2402939648336957
Digital art,0.14096470752201393,0.0,2,0.2568241801896126
Mindfulness,0.26973539824578796,0.6666666666666666,5,0.5295684684535161
Sustainable fashion,0.11579821975361375,0.26666666666666666,2,0.20874526079493955
cycling,0.15157344200306302,0.06666666666666667,3,0.28345108828653054
running,0.10860759054507428,0.0,2,0.1975104634807342
swimming,0.08322116622425665,0.26666666666666666,2,0.13951849941393357
