topic,pagerank,betweenness,degree,weighted_degree
AI music,0.292446416325164,0.3333333333333333,3,0.3439633358869321
Digital art,0.20110849739458067,0.0,2,0.2267871124334143
Mindfulness,0.30354810673097365,0.0,3,0.35830824111054466
Sustainable fashion,0.20289697954928215,0.0,2,0.2293067890446775
